word,meaning,sentence,sentence_meaning,category
clothes,衣物,The word 'clothes' means 衣物 in Chinese.,單字 'clothes' 在中文裡的意思是衣物。,7. Food & drink
pocket,皮包,The word 'pocket' means 皮包 in Chinese.,單字 'pocket' 在中文裡的意思是皮包。,7. Food & drink
ring,戒指/鈴響,The word 'ring' means 戒指/鈴響 in Chinese.,單字 'ring' 在中文裡的意思是戒指/鈴響。,7. Food & drink
shoes,鞋子,The word 'shoes' means 鞋子 in Chinese.,單字 'shoes' 在中文裡的意思是鞋子。,7. Food & drink
socks,襪子,The word 'socks' means 襪子 in Chinese.,單字 'socks' 在中文裡的意思是襪子。,7. Food & drink
tie,領帶,The word 'tie' means 領帶 in Chinese.,單字 'tie' 在中文裡的意思是領帶。,7. Food & drink
umbrella,雨傘,The word 'umbrella' means 雨傘 in Chinese.,單字 'umbrella' 在中文裡的意思是雨傘。,7. Food & drink
hobbies,運動、興趣、嗜好,The word 'hobbies' means 運動、興趣、嗜好 in Chinese.,單字 'hobbies' 在中文裡的意思是運動、興趣、嗜好。,7. Food & drink
sports,運動,The word 'sports' means 運動 in Chinese.,單字 'sports' 在中文裡的意思是運動。,7. Food & drink
badminton,羽球,The word 'badminton' means 羽球 in Chinese.,單字 'badminton' 在中文裡的意思是羽球。,7. Food & drink
baseball,棒球,The word 'baseball' means 棒球 in Chinese.,單字 'baseball' 在中文裡的意思是棒球。,7. Food & drink
basketball,籃球,The word 'basketball' means 籃球 in Chinese.,單字 'basketball' 在中文裡的意思是籃球。,7. Food & drink
dodge ball,躲避球,The word 'dodge ball' means 躲避球 in Chinese.,單字 'dodge ball' 在中文裡的意思是躲避球。,7. Food & drink
frisbee,飛盤,The word 'frisbee' means 飛盤 in Chinese.,單字 'frisbee' 在中文裡的意思是飛盤。,10. Houses & apartments
race,比賽,The word 'race' means 比賽 in Chinese.,單字 'race' 在中文裡的意思是比賽。,10. Houses & apartments
soccer,足球,The word 'soccer' means 足球 in Chinese.,單字 'soccer' 在中文裡的意思是足球。,10. Houses & apartments
tennis,網球,The word 'tennis' means 網球 in Chinese.,單字 'tennis' 在中文裡的意思是網球。,10. Houses & apartments
barbecue,烤肉,The word 'barbecue' means 烤肉 in Chinese.,單字 'barbecue' 在中文裡的意思是烤肉。,10. Houses & apartments
camp(camping) climb(climbing) cook(cooking) dance(dancing) draw(drawing),露營爬煮飯跳舞畫圖,The word 'camp(camping) climb(climbing) cook(cooking) dance(dancing) draw(drawing)' means 露營爬煮飯跳舞畫圖 in Chinese.,單字 'camp(camping) climb(climbing) cook(cooking) dance(dancing) draw(drawing)' 在中文裡的意思是露營爬煮飯跳舞畫圖。,10. Houses & apartments
exercise,運動fish(fishing)釣魚hike(hiking)健行jog(jogging)慢跑,The word 'exercise' means 運動fish(fishing)釣魚hike(hiking)健行jog(jogging)慢跑 in Chinese.,單字 'exercise' 在中文裡的意思是運動fish(fishing)釣魚hike(hiking)健行jog(jogging)慢跑。,10. Houses & apartments
picnic,野餐,The word 'picnic' means 野餐 in Chinese.,單字 'picnic' 在中文裡的意思是野餐。,10. Houses & apartments
swim,游泳,They like to swim in the park.,他們喜歡在公園游泳。,10. Houses & apartments
t rip,旅行,The word 't rip' means 旅行 in Chinese.,單字 't rip' 在中文裡的意思是旅行。,10. Houses & apartments
hobby,嗜好run(running)跑步sing(singing)唱歌,The word 'hobby' means 嗜好run(running)跑步sing(singing)唱歌 in Chinese.,單字 'hobby' 在中文裡的意思是嗜好run(running)跑步sing(singing)唱歌。,10. Houses & apartments
band,樂團,The word 'band' means 樂團 in Chinese.,單字 'band' 在中文裡的意思是樂團。,10. Houses & apartments
comic,漫畫,The word 'comic' means 漫畫 in Chinese.,單字 'comic' 在中文裡的意思是漫畫。,10. Houses & apartments
computer game doll,洋娃娃,The word 'computer game doll' means 洋娃娃 in Chinese.,單字 'computer game doll' 在中文裡的意思是洋娃娃。,10. Houses & apartments
credit card,信用卡電腦遊戲,The word 'credit card' means 信用卡電腦遊戲 in Chinese.,單字 'credit card' 在中文裡的意思是信用卡電腦遊戲。,10. Houses & apartments
game,遊戲,The word 'game' means 遊戲 in Chinese.,單字 'game' 在中文裡的意思是遊戲。,10. Houses & apartments
kite,風箏,The word 'kite' means 風箏 in Chinese.,單字 'kite' 在中文裡的意思是風箏。,10. Houses & apartments
movie,電影,The word 'movie' means 電影 in Chinese.,單字 'movie' 在中文裡的意思是電影。,10. Houses & apartments
music,音樂,The word 'music' means 音樂 in Chinese.,單字 'music' 在中文裡的意思是音樂。,10. Houses & apartments
paint,畫畫,The word 'paint' means 畫畫 in Chinese.,單字 'paint' 在中文裡的意思是畫畫。,10. Houses & apartments
piano,鋼琴,The word 'piano' means 鋼琴 in Chinese.,單字 'piano' 在中文裡的意思是鋼琴。,10. Houses & apartments
song,歌曲,The word 'song' means 歌曲 in Chinese.,單字 'song' 在中文裡的意思是歌曲。,10. Houses & apartments
team,隊伍,The word 'team' means 隊伍 in Chinese.,單字 'team' 在中文裡的意思是隊伍。,10. Houses & apartments
t oy,玩具,The word 't oy' means 玩具 in Chinese.,單字 't oy' 在中文裡的意思是玩具。,10. Houses & apartments
lose,輸,The word 'lose' means 輸 in Chinese.,單字 'lose' 在中文裡的意思是輸。,10. Houses & apartments
play,玩,We play together after school.,我們放學後一起玩。,10. Houses & apartments
win,贏,The word 'win' means 贏 in Chinese.,單字 'win' 在中文裡的意思是贏。,10. Houses & apartments
fan,電風扇；粉絲,The word 'fan' means 電風扇；粉絲 in Chinese.,單字 'fan' 在中文裡的意思是電風扇；粉絲。,10. Houses & apartments
apartment,公寓,The word 'apartment' means 公寓 in Chinese.,單字 'apartment' 在中文裡的意思是公寓。,10. Houses & apartments
house,房子,The word 'house' means 房子 in Chinese.,單字 'house' 在中文裡的意思是房子。,10. Houses & apartments
home,房子；家,The word 'home' means 房子；家 in Chinese.,單字 'home' 在中文裡的意思是房子；家。,10. Houses & apartments
bathroom,浴室,The word 'bathroom' means 浴室 in Chinese.,單字 'bathroom' 在中文裡的意思是浴室。,10. Houses & apartments
bedroom,臥房,The word 'bedroom' means 臥房 in Chinese.,單字 'bedroom' 在中文裡的意思是臥房。,10. Houses & apartments
dining room,餐廳,The word 'dining room' means 餐廳 in Chinese.,單字 'dining room' 在中文裡的意思是餐廳。,10. Houses & apartments
garden,花園,The word 'garden' means 花園 in Chinese.,單字 'garden' 在中文裡的意思是花園。,10. Houses & apartments
kitchen,廚房,The word 'kitchen' means 廚房 in Chinese.,單字 'kitchen' 在中文裡的意思是廚房。,10. Houses & apartments
living room,客廳,The word 'living room' means 客廳 in Chinese.,單字 'living room' 在中文裡的意思是客廳。,10. Houses & apartments
room,房間,The word 'room' means 房間 in Chinese.,單字 'room' 在中文裡的意思是房間。,10. Houses & apartments
study,書房,We study together after school.,我們放學後一起書房。,10. Houses & apartments
yard,庭院,The word 'yard' means 庭院 in Chinese.,單字 'yard' 在中文裡的意思是庭院。,10. Houses & apartments
balcony,陽台,The word 'balcony' means 陽台 in Chinese.,單字 'balcony' 在中文裡的意思是陽台。,10. Houses & apartments
door,門,The word 'door' means 門 in Chinese.,單字 'door' 在中文裡的意思是門。,10. Houses & apartments
floor,地板,The word 'floor' means 地板 in Chinese.,單字 'floor' 在中文裡的意思是地板。,10. Houses & apartments
gate,大門,The word 'gate' means 大門 in Chinese.,單字 'gate' 在中文裡的意思是大門。,10. Houses & apartments
stairs,階梯,The word 'stairs' means 階梯 in Chinese.,單字 'stairs' 在中文裡的意思是階梯。,10. Houses & apartments
wall,牆壁,The word 'wall' means 牆壁 in Chinese.,單字 'wall' 在中文裡的意思是牆壁。,10. Houses & apartments
window,窗戶,The word 'window' means 窗戶 in Chinese.,單字 'window' 在中文裡的意思是窗戶。,10. Houses & apartments
bath,洗澡,The word 'bath' means 洗澡 in Chinese.,單字 'bath' 在中文裡的意思是洗澡。,10. Houses & apartments
bed,床,The word 'bed' means 床 in Chinese.,單字 'bed' 在中文裡的意思是床。,10. Houses & apartments
bench,長椅,The word 'bench' means 長椅 in Chinese.,單字 'bench' 在中文裡的意思是長椅。,10. Houses & apartments
chair,椅子,The word 'chair' means 椅子 in Chinese.,單字 'chair' 在中文裡的意思是椅子。,10. Houses & apartments
couch,沙發,The word 'couch' means 沙發 in Chinese.,單字 'couch' 在中文裡的意思是沙發。,10. Houses & apartments
desk,書桌,The word 'desk' means 書桌 in Chinese.,單字 'desk' 在中文裡的意思是書桌。,10. Houses & apartments
drawer,抽屜,The word 'drawer' means 抽屜 in Chinese.,單字 'drawer' 在中文裡的意思是抽屜。,10. Houses & apartments
lamp,檯燈,The word 'lamp' means 檯燈 in Chinese.,單字 'lamp' 在中文裡的意思是檯燈。,10. Houses & apartments
light,光,The word 'light' means 光 in Chinese.,單字 'light' 在中文裡的意思是光。,10. Houses & apartments
sofa,沙發,The word 'sofa' means 沙發 in Chinese.,單字 'sofa' 在中文裡的意思是沙發。,10. Houses & apartments
table,桌子,The word 'table' means 桌子 in Chinese.,單字 'table' 在中文裡的意思是桌子。,10. Houses & apartments
tub,桶子；木盆,The word 'tub' means 桶子；木盆 in Chinese.,單字 'tub' 在中文裡的意思是桶子；木盆。,10. Houses & apartments
blanket,毛毯,The word 'blanket' means 毛毯 in Chinese.,單字 'blanket' 在中文裡的意思是毛毯。,10. Houses & apartments
towel,毛巾,The word 'towel' means 毛巾 in Chinese.,單字 'towel' 在中文裡的意思是毛巾。,10. Houses & apartments
camera,照相機computer電腦,The word 'camera' means 照相機computer電腦 in Chinese.,單字 'camera' 在中文裡的意思是照相機computer電腦。,10. Houses & apartments
fan,電風扇,The word 'fan' means 電風扇 in Chinese.,單字 'fan' 在中文裡的意思是電風扇。,10. Houses & apartments
machine,機器,The word 'machine' means 機器 in Chinese.,單字 'machine' 在中文裡的意思是機器。,10. Houses & apartments
radio,收音機,The word 'radio' means 收音機 in Chinese.,單字 'radio' 在中文裡的意思是收音機。,10. Houses & apartments
refrigerator,冰箱,The word 'refrigerator' means 冰箱 in Chinese.,單字 'refrigerator' 在中文裡的意思是冰箱。,10. Houses & apartments
tape,膠帶,The word 'tape' means 膠帶 in Chinese.,單字 'tape' 在中文裡的意思是膠帶。,10. Houses & apartments
recorder,錄音機,The word 'recorder' means 錄音機 in Chinese.,單字 'recorder' 在中文裡的意思是錄音機。,10. Houses & apartments
telephone,電話,The word 'telephone' means 電話 in Chinese.,單字 'telephone' 在中文裡的意思是電話。,10. Houses & apartments
Television (TV),電視,The word 'television (tv)' means 電視 in Chinese.,單字 'television (tv)' 在中文裡的意思是電視。,10. Houses & apartments
video,錄影機,The word 'video' means 錄影機 in Chinese.,單字 'video' 在中文裡的意思是錄影機。,10. Houses & apartments
basket,籃子,The word 'basket' means 籃子 in Chinese.,單字 'basket' 在中文裡的意思是籃子。,10. Houses & apartments
candle,蠟燭,The word 'candle' means 蠟燭 in Chinese.,單字 'candle' 在中文裡的意思是蠟燭。,10. Houses & apartments
key,鑰匙,The word 'key' means 鑰匙 in Chinese.,單字 'key' 在中文裡的意思是鑰匙。,10. Houses & apartments
street,街道,The word 'street' means 街道 in Chinese.,單字 'street' 在中文裡的意思是街道。,10. Houses & apartments
pot,茶壺,The word 'pot' means 茶壺 in Chinese.,單字 'pot' 在中文裡的意思是茶壺。,10. Houses & apartments
building,建築物,The word 'building' means 建築物 in Chinese.,單字 'building' 在中文裡的意思是建築物。,10. Houses & apartments
clean,清理,The word 'clean' means 清理 in Chinese.,單字 'clean' 在中文裡的意思是清理。,10. Houses & apartments
fix,修理,The word 'fix' means 修理 in Chinese.,單字 'fix' 在中文裡的意思是修理。,10. Houses & apartments
wash,洗,The word 'wash' means 洗 in Chinese.,單字 'wash' 在中文裡的意思是洗。,10. Houses & apartments
road,路,The word 'road' means 路 in Chinese.,單字 'road' 在中文裡的意思是路。,10. Houses & apartments
elementary school junior high school senior high school classroom,教室,The word 'elementary school junior high school senior high school classroom' means 教室 in Chinese.,單字 'elementary school junior high school senior high school classroom' 在中文裡的意思是教室。,10. Houses & apartments
gym,體育館國小國中高中,The word 'gym' means 體育館國小國中高中 in Chinese.,單字 'gym' 在中文裡的意思是體育館國小國中高中。,10. Houses & apartments
playground,操場,The word 'playground' means 操場 in Chinese.,單字 'playground' 在中文裡的意思是操場。,10. Houses & apartments
library,圖書館,The word 'library' means 圖書館 in Chinese.,單字 'library' 在中文裡的意思是圖書館。,10. Houses & apartments
class,教室：課,The word 'class' means 教室：課 in Chinese.,單字 'class' 在中文裡的意思是教室：課。,10. Houses & apartments
seesaw,翹翹板,The word 'seesaw' means 翹翹板 in Chinese.,單字 'seesaw' 在中文裡的意思是翹翹板。,10. Houses & apartments
slide,溜滑梯,The word 'slide' means 溜滑梯 in Chinese.,單字 'slide' 在中文裡的意思是溜滑梯。,10. Houses & apartments
blackboard,黑板,The word 'blackboard' means 黑板 in Chinese.,單字 'blackboard' 在中文裡的意思是黑板。,10. Houses & apartments
book,書,This is my book.,這是我的書。,10. Houses & apartments
chalk,粉筆,The word 'chalk' means 粉筆 in Chinese.,單字 'chalk' 在中文裡的意思是粉筆。,10. Houses & apartments
dictionary,字典,The word 'dictionary' means 字典 in Chinese.,單字 'dictionary' 在中文裡的意思是字典。,10. Houses & apartments
envelope,信封,The word 'envelope' means 信封 in Chinese.,單字 'envelope' 在中文裡的意思是信封。,10. Houses & apartments
eraser,橡皮擦,The word 'eraser' means 橡皮擦 in Chinese.,單字 'eraser' 在中文裡的意思是橡皮擦。,10. Houses & apartments
glasses,玻璃杯,The word 'glasses' means 玻璃杯 in Chinese.,單字 'glasses' 在中文裡的意思是玻璃杯。,10. Houses & apartments
glue,膠水,The word 'glue' means 膠水 in Chinese.,單字 'glue' 在中文裡的意思是膠水。,10. Houses & apartments
letter,信,The word 'letter' means 信 in Chinese.,單字 'letter' 在中文裡的意思是信。,10. Houses & apartments
map,地圖,The word 'map' means 地圖 in Chinese.,單字 'map' 在中文裡的意思是地圖。,10. Houses & apartments
marker,馬克筆,The word 'marker' means 馬克筆 in Chinese.,單字 'marker' 在中文裡的意思是馬克筆。,10. Houses & apartments
notebook,筆記本,This is my notebook.,這是我的筆記本。,10. Houses & apartments
page,頁數,The word 'page' means 頁數 in Chinese.,單字 'page' 在中文裡的意思是頁數。,10. Houses & apartments
paper,紙,This is my paper.,這是我的紙。,10. Houses & apartments
pen,筆,This is my pen.,這是我的筆。,10. Houses & apartments
pencil box(case) pencil,鉛筆,The word 'pencil box(case) pencil' means 鉛筆 in Chinese.,單字 'pencil box(case) pencil' 在中文裡的意思是鉛筆。,10. Houses & apartments
picture,圖片postcard明信片,The word 'picture' means 圖片postcard明信片 in Chinese.,單字 'picture' 在中文裡的意思是圖片postcard明信片。,10. Houses & apartments
present,禮物鉛筆盒,The word 'present' means 禮物鉛筆盒 in Chinese.,單字 'present' 在中文裡的意思是禮物鉛筆盒。,10. Houses & apartments
ruler,尺,The word 'ruler' means 尺 in Chinese.,單字 'ruler' 在中文裡的意思是尺。,10. Houses & apartments
workbook,作業簿,The word 'workbook' means 作業簿 in Chinese.,單字 'workbook' 在中文裡的意思是作業簿。,10. Houses & apartments
course,科目,The word 'course' means 科目 in Chinese.,單字 'course' 在中文裡的意思是科目。,10. Houses & apartments
art,美術,The word 'art' means 美術 in Chinese.,單字 'art' 在中文裡的意思是美術。,10. Houses & apartments
Chinese,中文,The word 'chinese' means 中文 in Chinese.,單字 'chinese' 在中文裡的意思是中文。,10. Houses & apartments
English,英文,The word 'english' means 英文 in Chinese.,單字 'english' 在中文裡的意思是英文。,10. Houses & apartments
history,歷史,The word 'history' means 歷史 in Chinese.,單字 'history' 在中文裡的意思是歷史。,10. Houses & apartments
language,語言,The word 'language' means 語言 in Chinese.,單字 'language' 在中文裡的意思是語言。,10. Houses & apartments
math,數學,The word 'math' means 數學 in Chinese.,單字 'math' 在中文裡的意思是數學。,10. Houses & apartments
PE(physical cheer leader science,科學,The word 'pe(physical cheer leader science' means 科學 in Chinese.,單字 'pe(physical cheer leader science' 在中文裡的意思是科學。,12. Places & locations
classmate,同學,The word 'classmate' means 同學 in Chinese.,單字 'classmate' 在中文裡的意思是同學。,12. Places & locations
friend,朋友,He is a good friend.,他是一位好朋友。,12. Places & locations
education),體育啦啦隊長,The word 'education)' means 體育啦啦隊長 in Chinese.,單字 'education)' 在中文裡的意思是體育啦啦隊長。,12. Places & locations
student,學生,He is a good student.,他是一位好學生。,12. Places & locations
teacher,老師,He is a good teacher.,他是一位好老師。,12. Places & locations
answer,答案,The word 'answer' means 答案 in Chinese.,單字 'answer' 在中文裡的意思是答案。,12. Places & locations
ask,詢問,The word 'ask' means 詢問 in Chinese.,單字 'ask' 在中文裡的意思是詢問。,12. Places & locations
fail,不及格,The word 'fail' means 不及格 in Chinese.,單字 'fail' 在中文裡的意思是不及格。,12. Places & locations
learn,學習,The word 'learn' means 學習 in Chinese.,單字 'learn' 在中文裡的意思是學習。,12. Places & locations
listen,聽,The word 'listen' means 聽 in Chinese.,單字 'listen' 在中文裡的意思是聽。,12. Places & locations
mark,痕跡；記號,The word 'mark' means 痕跡；記號 in Chinese.,單字 'mark' 在中文裡的意思是痕跡；記號。,12. Places & locations
pass,通過,The word 'pass' means 通過 in Chinese.,單字 'pass' 在中文裡的意思是通過。,12. Places & locations
practice,練習,The word 'practice' means 練習 in Chinese.,單字 'practice' 在中文裡的意思是練習。,12. Places & locations
prepare,複習,The word 'prepare' means 複習 in Chinese.,單字 'prepare' 在中文裡的意思是複習。,12. Places & locations
read,讀書,We read together after school.,我們放學後一起讀書。,12. Places & locations
repeat,重複,The word 'repeat' means 重複 in Chinese.,單字 'repeat' 在中文裡的意思是重複。,12. Places & locations
say,說,The word 'say' means 說 in Chinese.,單字 'say' 在中文裡的意思是說。,12. Places & locations
speak,說,The word 'speak' means 說 in Chinese.,單字 'speak' 在中文裡的意思是說。,12. Places & locations
spell,拼,The word 'spell' means 拼 in Chinese.,單字 'spell' 在中文裡的意思是拼。,12. Places & locations
study,學習,We study together after school.,我們放學後一起學習。,12. Places & locations
talk,說話,The word 'talk' means 說話 in Chinese.,單字 'talk' 在中文裡的意思是說話。,12. Places & locations
teach,敎,The word 'teach' means 敎 in Chinese.,單字 'teach' 在中文裡的意思是敎。,12. Places & locations
understand,明白,The word 'understand' means 明白 in Chinese.,單字 'understand' 在中文裡的意思是明白。,12. Places & locations
exercise,運動；,The word 'exercise' means 運動； in Chinese.,單字 'exercise' 在中文裡的意思是運動；。,12. Places & locations
write,寫,We write together after school.,我們放學後一起寫。,12. Places & locations
draw,畫,The word 'draw' means 畫 in Chinese.,單字 'draw' 在中文裡的意思是畫。,12. Places & locations
example,例子,The word 'example' means 例子 in Chinese.,單字 'example' 在中文裡的意思是例子。,12. Places & locations
grade,成績練習,The word 'grade' means 成績練習 in Chinese.,單字 'grade' 在中文裡的意思是成績練習。,12. Places & locations
homework,回,The word 'homework' means 回 in Chinese.,單字 'homework' 在中文裡的意思是回。,12. Places & locations
knowledge,知識,The word 'knowledge' means 知識 in Chinese.,單字 'knowledge' 在中文裡的意思是知識。,12. Places & locations
lesson,課,The word 'lesson' means 課 in Chinese.,單字 'lesson' 在中文裡的意思是課。,12. Places & locations
problem,問題,The word 'problem' means 問題 in Chinese.,單字 'problem' 在中文裡的意思是問題。,12. Places & locations
question,問題家功課,The word 'question' means 問題家功課 in Chinese.,單字 'question' 在中文裡的意思是問題家功課。,12. Places & locations
quiz,測驗,The word 'quiz' means 測驗 in Chinese.,單字 'quiz' 在中文裡的意思是測驗。,12. Places & locations
story,故事,The word 'story' means 故事 in Chinese.,單字 'story' 在中文裡的意思是故事。,12. Places & locations
test,考試,The word 'test' means 考試 in Chinese.,單字 'test' 在中文裡的意思是考試。,12. Places & locations
here,這裡,The word 'here' means 這裡 in Chinese.,單字 'here' 在中文裡的意思是這裡。,12. Places & locations
there,那裡,The word 'there' means 那裡 in Chinese.,單字 'there' 在中文裡的意思是那裡。,12. Places & locations
back,後面,The word 'back' means 後面 in Chinese.,單字 'back' 在中文裡的意思是後面。,12. Places & locations
front,前面,The word 'front' means 前面 in Chinese.,單字 'front' 在中文裡的意思是前面。,12. Places & locations
left,左邊,The word 'left' means 左邊 in Chinese.,單字 'left' 在中文裡的意思是左邊。,12. Places & locations
middle,中間,The word 'middle' means 中間 in Chinese.,單字 'middle' 在中文裡的意思是中間。,12. Places & locations
right,右邊；正確,The word 'right' means 右邊；正確 in Chinese.,單字 'right' 在中文裡的意思是右邊；正確。,12. Places & locations
east,東,The word 'east' means 東 in Chinese.,單字 'east' 在中文裡的意思是東。,12. Places & locations
west,西,The word 'west' means 西 in Chinese.,單字 'west' 在中文裡的意思是西。,12. Places & locations
south,南,The word 'south' means 南 in Chinese.,單字 'south' 在中文裡的意思是南。,12. Places & locations
north,北,The word 'north' means 北 in Chinese.,單字 'north' 在中文裡的意思是北。,12. Places & locations
top,上面,The word 'top' means 上面 in Chinese.,單字 'top' 在中文裡的意思是上面。,12. Places & locations
bakery,麵包店,The word 'bakery' means 麵包店 in Chinese.,單字 'bakery' 在中文裡的意思是麵包店。,12. Places & locations
bank,銀行,The word 'bank' means 銀行 in Chinese.,單字 'bank' 在中文裡的意思是銀行。,12. Places & locations
beach,海灘,The word 'beach' means 海灘 in Chinese.,單字 'beach' 在中文裡的意思是海灘。,12. Places & locations
department store fast food restaurant bookstore,書店,The word 'department store fast food restaurant bookstore' means 書店 in Chinese.,單字 'department store fast food restaurant bookstore' 在中文裡的意思是書店。,12. Places & locations
church,教堂,The word 'church' means 教堂 in Chinese.,單字 'church' 在中文裡的意思是教堂。,12. Places & locations
factory,工廠百貨公司速食餐廳,The word 'factory' means 工廠百貨公司速食餐廳 in Chinese.,單字 'factory' 在中文裡的意思是工廠百貨公司速食餐廳。,12. Places & locations
fire station flower shop,花店,The word 'fire station flower shop' means 花店 in Chinese.,單字 'fire station flower shop' 在中文裡的意思是花店。,12. Places & locations
hospital,醫院,The word 'hospital' means 醫院 in Chinese.,單字 'hospital' 在中文裡的意思是醫院。,12. Places & locations
hotel,旅館,The word 'hotel' means 旅館 in Chinese.,單字 'hotel' 在中文裡的意思是旅館。,12. Places & locations
market,市場消防站,The word 'market' means 市場消防站 in Chinese.,單字 'market' 在中文裡的意思是市場消防站。,12. Places & locations
movie theater,戲,The word 'movie theater' means 戲 in Chinese.,單字 'movie theater' 在中文裡的意思是戲。,12. Places & locations
museum,博物館,The word 'museum' means 博物館 in Chinese.,單字 'museum' 在中文裡的意思是博物館。,12. Places & locations
office,辦公室,The word 'office' means 辦公室 in Chinese.,單字 'office' 在中文裡的意思是辦公室。,12. Places & locations
park,公園,The word 'park' means 公園 in Chinese.,單字 'park' 在中文裡的意思是公園。,12. Places & locations
post office,郵局院,The word 'post office' means 郵局院 in Chinese.,單字 'post office' 在中文裡的意思是郵局院。,12. Places & locations
police station restroom,廁所,The word 'police station restroom' means 廁所 in Chinese.,單字 'police station restroom' 在中文裡的意思是廁所。,12. Places & locations
restaurant,餐廳,The word 'restaurant' means 餐廳 in Chinese.,單字 'restaurant' 在中文裡的意思是餐廳。,12. Places & locations
shop,商店,The word 'shop' means 商店 in Chinese.,單字 'shop' 在中文裡的意思是商店。,12. Places & locations
store,商店警察局,The word 'store' means 商店警察局 in Chinese.,單字 'store' 在中文裡的意思是商店警察局。,12. Places & locations
supermarket temple,寺廟,The word 'supermarket temple' means 寺廟 in Chinese.,單字 'supermarket temple' 在中文裡的意思是寺廟。,12. Places & locations
theater,戲院,The word 'theater' means 戲院 in Chinese.,單字 'theater' 在中文裡的意思是戲院。,12. Places & locations
zoo,動物園,The word 'zoo' means 動物園 in Chinese.,單字 'zoo' 在中文裡的意思是動物園。,12. Places & locations
city,城市超級市場,The word 'city' means 城市超級市場 in Chinese.,單字 'city' 在中文裡的意思是城市超級市場。,12. Places & locations
country farm,農場,The word 'country farm' means 農場 in Chinese.,單字 'country farm' 在中文裡的意思是農場。,12. Places & locations
place,地方,The word 'place' means 地方 in Chinese.,單字 'place' 在中文裡的意思是地方。,12. Places & locations
town,城鎮國家；鄉下,The word 'town' means 城鎮國家；鄉下 in Chinese.,單字 'town' 在中文裡的意思是城鎮國家；鄉下。,12. Places & locations
airplane(plane) bicycle(bike) boat,船,The word 'airplane(plane) bicycle(bike) boat' means 船 in Chinese.,單字 'airplane(plane) bicycle(bike) boat' 在中文裡的意思是船。,12. Places & locations
bus,巴士,The word 'bus' means 巴士 in Chinese.,單字 'bus' 在中文裡的意思是巴士。,12. Places & locations
car,汽車飛機腳踏車,The word 'car' means 汽車飛機腳踏車 in Chinese.,單字 'car' 在中文裡的意思是汽車飛機腳踏車。,12. Places & locations
motorcycle scooter,摩托車,The word 'motorcycle scooter' means 摩托車 in Chinese.,單字 'motorcycle scooter' 在中文裡的意思是摩托車。,12. Places & locations
ship,郵輪,The word 'ship' means 郵輪 in Chinese.,單字 'ship' 在中文裡的意思是郵輪。,12. Places & locations
taxi,計程車,The word 'taxi' means 計程車 in Chinese.,單字 'taxi' 在中文裡的意思是計程車。,12. Places & locations
train,火車摩托車,The word 'train' means 火車摩托車 in Chinese.,單字 'train' 在中文裡的意思是火車摩托車。,12. Places & locations
truck,卡車,The word 'truck' means 卡車 in Chinese.,單字 'truck' 在中文裡的意思是卡車。,12. Places & locations
airport,機場,The word 'airport' means 機場 in Chinese.,單字 'airport' 在中文裡的意思是機場。,12. Places & locations
bus stop,巴士站,The word 'bus stop' means 巴士站 in Chinese.,單字 'bus stop' 在中文裡的意思是巴士站。,12. Places & locations
station,站,The word 'station' means 站 in Chinese.,單字 'station' 在中文裡的意思是站。,12. Places & locations
land,土地,The word 'land' means 土地 in Chinese.,單字 'land' 在中文裡的意思是土地。,12. Places & locations
block,街區,The word 'block' means 街區 in Chinese.,單字 'block' 在中文裡的意思是街區。,12. Places & locations
bridge,橋,The word 'bridge' means 橋 in Chinese.,單字 'bridge' 在中文裡的意思是橋。,12. Places & locations
MRT,捷運,The word 'mrt' means 捷運 in Chinese.,單字 'mrt' 在中文裡的意思是捷運。,12. Places & locations
railway,鐵路,The word 'railway' means 鐵路 in Chinese.,單字 'railway' 在中文裡的意思是鐵路。,12. Places & locations
sidewalk,人行道,The word 'sidewalk' means 人行道 in Chinese.,單字 'sidewalk' 在中文裡的意思是人行道。,12. Places & locations
traffic,交通,The word 'traffic' means 交通 in Chinese.,單字 'traffic' 在中文裡的意思是交通。,12. Places & locations
arrive,到達,The word 'arrive' means 到達 in Chinese.,單字 'arrive' 在中文裡的意思是到達。,12. Places & locations
cross,越過,The word 'cross' means 越過 in Chinese.,單字 'cross' 在中文裡的意思是越過。,12. Places & locations
drive,駕駛,The word 'drive' means 駕駛 in Chinese.,單字 'drive' 在中文裡的意思是駕駛。,12. Places & locations
fly,飛,The word 'fly' means 飛 in Chinese.,單字 'fly' 在中文裡的意思是飛。,12. Places & locations
fast,快,The word 'fast' means 快 in Chinese.,單字 'fast' 在中文裡的意思是快。,12. Places & locations
ride,騎,The word 'ride' means 騎 in Chinese.,單字 'ride' 在中文裡的意思是騎。,12. Places & locations
turn,轉,The word 'turn' means 轉 in Chinese.,單字 'turn' 在中文裡的意思是轉。,12. Places & locations
slow,慢,The word 'slow' means 慢 in Chinese.,單字 'slow' 在中文裡的意思是慢。,12. Places & locations
quick,快點,The word 'quick' means 快點 in Chinese.,單字 'quick' 在中文裡的意思是快點。,12. Places & locations
centimeter,公分,The word 'centimeter' means 公分 in Chinese.,單字 'centimeter' 在中文裡的意思是公分。,12. Places & locations
gram,克,The word 'gram' means 克 in Chinese.,單字 'gram' 在中文裡的意思是克。,12. Places & locations
inch,英吋,The word 'inch' means 英吋 in Chinese.,單字 'inch' 在中文裡的意思是英吋。,12. Places & locations
